LAT,LON,YEAR,MO,DY,T2M
-21.34449,55.47301,2000,12,9,   24.61
-21.34449,55.47301,2000,12,10,   24.78
-21.34449,55.47301,2000,12,11,   24.64
-21.34449,55.47301,2000,12,12,   25.36
-21.34449,55.47301,2000,12,13,   25.37
-21.34449,55.47301,2000,12,14,   26.10
-21.34449,55.47301,2000,12,15,   26.37
-21.34449,55.47301,2000,12,16,   26.03
-21.34449,55.47301,2000,12,17,   25.88
-21.34449,55.47301,2000,12,18,   25.97
-21.34449,55.47301,2000,12,19,   25.64
-21.34449,55.47301,2000,12,20,   25.52
-21.34449,55.47301,2000,12,21,   25.40
-21.34449,55.47301,2000,12,22,   25.67
-21.34449,55.47301,2000,12,23,   25.46
-21.34449,55.47301,2000,12,24,   25.24
-21.34449,55.47301,2000,12,25,   26.10
-21.34449,55.47301,2000,12,26,   26.35
-21.34449,55.47301,2000,12,27,   26.24
-21.34449,55.47301,2000,12,28,   25.41
-21.34449,55.47301,2000,12,29,   26.53
-21.34449,55.47301,2000,12,30,   26.38
-21.34449,55.47301,2000,12,31,   26.14
-21.34449,55.47301,2001,1,1,   26.32
-21.34449,55.47301,2001,1,2,   25.98
-21.34449,55.47301,2001,1,3,   26.09
-21.34449,55.47301,2001,1,4,   26.17
-21.34449,55.47301,2001,1,5,   26.30
-21.34449,55.47301,2001,1,6,   26.66
-21.34449,55.47301,2001,1,7,   26.21
-21.34449,55.47301,2001,1,8,   25.94
-21.34449,55.47301,2001,1,9,   26.16
-21.34449,55.47301,2001,1,10,   26.18
-21.34449,55.47301,2001,1,11,   26.06
-21.34449,55.47301,2001,1,12,   25.68
-21.34449,55.47301,2001,1,13,   26.20
-21.34449,55.47301,2001,1,14,   26.13
-21.34449,55.47301,2001,1,15,   26.04
-21.34449,55.47301,2001,1,16,   25.96
-21.34449,55.47301,2001,1,17,   25.87
-21.34449,55.47301,2001,1,18,   26.12
-21.34449,55.47301,2001,1,19,   26.39
-21.34449,55.47301,2001,1,20,   26.01
-21.34449,55.47301,2001,1,21,   25.86
-21.34449,55.47301,2001,1,22,   26.07
-21.34449,55.47301,2001,1,23,   26.44
-21.34449,55.47301,2001,1,24,   26.59
-21.34449,55.47301,2001,1,25,   26.00
-21.34449,55.47301,2001,1,26,   26.10
-21.34449,55.47301,2001,1,27,   26.14
-21.34449,55.47301,2001,1,28,   26.06
-21.34449,55.47301,2001,1,29,   25.97
-21.34449,55.47301,2001,1,30,   25.85
-21.34449,55.47301,2001,1,31,   25.69
-21.34449,55.47301,2001,2,1,   25.56
-21.34449,55.47301,2001,2,2,   26.07
-21.34449,55.47301,2001,2,3,   26.12
-21.34449,55.47301,2001,2,4,   26.35
-21.34449,55.47301,2001,2,5,   26.52
-21.34449,55.47301,2001,2,6,   26.57
-21.34449,55.47301,2001,2,7,   26.52
-21.34449,55.47301,2001,2,8,   26.39
-21.34449,55.47301,2001,2,9,   26.96
-21.34449,55.47301,2001,2,10,   27.39
-21.34449,55.47301,2001,2,11,   27.40
-21.34449,55.47301,2001,2,12,   27.16
-21.34449,55.47301,2001,2,13,   26.86
-21.34449,55.47301,2001,2,14,   26.89
-21.34449,55.47301,2001,2,15,   27.20
-21.34449,55.47301,2001,2,16,   27.00
-21.34449,55.47301,2001,2,17,   27.08
-21.34449,55.47301,2001,2,18,   26.78
-21.34449,55.47301,2001,2,19,   27.41
-21.34449,55.47301,2001,2,20,   27.25
-21.34449,55.47301,2001,2,21,   26.98
-21.34449,55.47301,2001,2,22,   26.86
-21.34449,55.47301,2001,2,23,   27.10
-21.34449,55.47301,2001,2,24,   27.26
-21.34449,55.47301,2001,2,25,   27.34
-21.34449,55.47301,2001,2,26,   27.45
-21.34449,55.47301,2001,2,27,   27.67
-21.34449,55.47301,2001,2,28,   27.74
-21.34449,55.47301,2001,3,1,   27.59
-21.34449,55.47301,2001,3,2,   27.33
-21.34449,55.47301,2001,3,3,   26.97
-21.34449,55.47301,2001,3,4,   26.69
-21.34449,55.47301,2001,3,5,   26.80
-21.34449,55.47301,2001,3,6,   26.94
-21.34449,55.47301,2001,3,7,   26.62
-21.34449,55.47301,2001,3,8,   26.92
-21.34449,55.47301,2001,3,9,   27.17
-21.34449,55.47301,2001,3,10,   27.06
-21.34449,55.47301,2001,3,11,   27.26
-21.34449,55.47301,2001,3,12,   27.04
-21.34449,55.47301,2001,3,13,   26.84
-21.34449,55.47301,2001,3,14,   26.14
-21.34449,55.47301,2001,3,15,   25.89
-21.34449,55.47301,2001,3,16,   26.26
-21.34449,55.47301,2001,3,17,   26.75
-21.34449,55.47301,2001,3,18,   26.78
-21.34449,55.47301,2001,3,19,   26.75
-21.34449,55.47301,2001,3,20,   26.72
-21.34449,55.47301,2001,3,21,   26.91
-21.34449,55.47301,2001,3,22,   26.96
-21.34449,55.47301,2001,3,23,   26.56
-21.34449,55.47301,2001,3,24,   26.20
-21.34449,55.47301,2001,3,25,   26.52
-21.34449,55.47301,2001,3,26,   27.36
-21.34449,55.47301,2001,3,27,   27.50
-21.34449,55.47301,2001,3,28,   27.19
-21.34449,55.47301,2001,3,29,   27.12
-21.34449,55.47301,2001,3,30,   26.95
-21.34449,55.47301,2001,3,31,   26.86
-21.34449,55.47301,2001,4,1,   27.07
-21.34449,55.47301,2001,4,2,   26.85
-21.34449,55.47301,2001,4,3,   27.09
-21.34449,55.47301,2001,4,4,   26.96
-21.34449,55.47301,2001,4,5,   26.99
-21.34449,55.47301,2001,4,6,   26.95
-21.34449,55.47301,2001,4,7,   26.67
-21.34449,55.47301,2001,4,8,   26.75
-21.34449,55.47301,2001,4,9,   26.42
-21.34449,55.47301,2001,4,10,   26.11
-21.34449,55.47301,2001,4,11,   25.85
-21.34449,55.47301,2001,4,12,   25.30
-21.34449,55.47301,2001,4,13,   25.57
-21.34449,55.47301,2001,4,14,   26.02
-21.34449,55.47301,2001,4,15,   26.73
-21.34449,55.47301,2001,4,16,   26.59
-21.34449,55.47301,2001,4,17,   25.47
-21.34449,55.47301,2001,4,18,   24.68
-21.34449,55.47301,2001,4,19,   25.04
-21.34449,55.47301,2001,4,20,   25.93
-21.34449,55.47301,2001,4,21,   26.07
-21.34449,55.47301,2001,4,22,   25.86
-21.34449,55.47301,2001,4,23,   25.53
-21.34449,55.47301,2001,4,24,   25.33
-21.34449,55.47301,2001,4,25,   25.29
-21.34449,55.47301,2001,4,26,   25.03
-21.34449,55.47301,2001,4,27,   25.06
-21.34449,55.47301,2001,4,28,   25.20
-21.34449,55.47301,2001,4,29,   25.44
-21.34449,55.47301,2001,4,30,   26.02
-21.34449,55.47301,2001,5,1,   26.14
-21.34449,55.47301,2001,5,2,   26.09
-21.34449,55.47301,2001,5,3,   26.43
-21.34449,55.47301,2001,5,4,   26.51
-21.34449,55.47301,2001,5,5,   26.62
-21.34449,55.47301,2001,5,6,   26.29
-21.34449,55.47301,2001,5,7,   26.28
-21.34449,55.47301,2001,5,8,   25.62
-21.34449,55.47301,2001,5,9,   24.83
-21.34449,55.47301,2001,5,10,   24.79
-21.34449,55.47301,2001,5,11,   24.20
-21.34449,55.47301,2001,5,12,   24.66
-21.34449,55.47301,2001,5,13,   24.76
-21.34449,55.47301,2001,5,14,   24.67
-21.34449,55.47301,2001,5,15,   24.84
-21.34449,55.47301,2001,5,16,   24.91
-21.34449,55.47301,2001,5,17,   24.91
-21.34449,55.47301,2001,5,18,   24.79
-21.34449,55.47301,2001,5,19,   24.87
-21.34449,55.47301,2001,5,20,   24.24
-21.34449,55.47301,2001,5,21,   24.63
-21.34449,55.47301,2001,5,22,   24.99
-21.34449,55.47301,2001,5,23,   24.84
-21.34449,55.47301,2001,5,24,   23.91
-21.34449,55.47301,2001,5,25,   23.34
-21.34449,55.47301,2001,5,26,   23.83
-21.34449,55.47301,2001,5,27,   24.18
-21.34449,55.47301,2001,5,28,   23.43
-21.34449,55.47301,2001,5,29,   23.19
-21.34449,55.47301,2001,5,30,   23.59
-21.34449,55.47301,2001,5,31,   22.99
-21.34449,55.47301,2001,6,1,   22.78
-21.34449,55.47301,2001,6,2,   22.76
-21.34449,55.47301,2001,6,3,   23.36
-21.34449,55.47301,2001,6,4,   23.42
-21.34449,55.47301,2001,6,5,   23.31
-21.34449,55.47301,2001,6,6,   22.62
-21.34449,55.47301,2001,6,7,   21.48
-21.34449,55.47301,2001,6,8,   20.75
-21.34449,55.47301,2001,6,9,   20.82
-21.34449,55.47301,2001,6,10,   21.38
-21.34449,55.47301,2001,6,11,   21.22
-21.34449,55.47301,2001,6,12,   22.16
-21.34449,55.47301,2001,6,13,   21.79
-21.34449,55.47301,2001,6,14,   21.76
-21.34449,55.47301,2001,6,15,   21.98
-21.34449,55.47301,2001,6,16,   21.98
-21.34449,55.47301,2001,6,17,   21.92
-21.34449,55.47301,2001,6,18,   21.71
-21.34449,55.47301,2001,6,19,   21.57
-21.34449,55.47301,2001,6,20,   21.22
-21.34449,55.47301,2001,6,21,   21.67
-21.34449,55.47301,2001,6,22,   22.56
-21.34449,55.47301,2001,6,23,   22.72
-21.34449,55.47301,2001,6,24,   22.14
-21.34449,55.47301,2001,6,25,   21.44
-21.34449,55.47301,2001,6,26,   20.95
-21.34449,55.47301,2001,6,27,   21.03
-21.34449,55.47301,2001,6,28,   20.99
-21.34449,55.47301,2001,6,29,   21.74
-21.34449,55.47301,2001,6,30,   22.04
-21.34449,55.47301,2001,7,1,   22.24
-21.34449,55.47301,2001,7,2,   22.04
-21.34449,55.47301,2001,7,3,   21.81
-21.34449,55.47301,2001,7,4,   21.95
-21.34449,55.47301,2001,7,5,   21.79
-21.34449,55.47301,2001,7,6,   22.16
-21.34449,55.47301,2001,7,7,   21.78
